"subject_id","success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","trial_id","rt","stimulus","response","view_history","init_locations","moves","final_locations","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","question_order","15","feedback","age","ethnicity","gender","race"
"subj_01",TRUE,FALSE,"[]","[]","[]","preload",0,"2.0.0",357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"html-button-response",1,"2.0.0",2586,"consent",2228,"<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 30 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 30 minutes, your payment will amount to $7.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"instructions",2,"2.0.0",5560,NA,2973,NA,NA,"[{""page_index"":0,""viewing_time"":2973}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"instructions",3,"2.0.0",11676,NA,6115,NA,NA,"[{""page_index"":0,""viewing_time"":6115}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"video-button-response",4,"2.0.0",32074,"example_videos",20395,"[""video/example-video-circles.mp4""]","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"free-sort",5,"2.0.1",92890,NA,60814,NA,NA,NA,"[{""src"":""images/items-circles/img7.png"",""x"":610.4166666666667,""y"":0},{""src"":""images/items-circles/img8.png"",""x"":-60.41666666666666,""y"":550},{""src"":""images/items-circles/img1.png"",""x"":610.4166666666667,""y"":183.33333333333334},{""src"":""images/items-circles/img15.png"",""x"":-60.41666666666666,""y"":366.6666666666667},{""src"":""images/items-circles/img14.png"",""x"":610.4166666666667,""y"":366.6666666666667},{""src"":""images/items-circles/img3.png"",""x"":-60.41666666666666,""y"":183.33333333333334},{""src"":""images/items-circles/img4.png"",""x"":610.4166666666667,""y"":550},{""src"":""images/items-circles/img9.png"",""x"":-60.41666666666666,""y"":0},{""src"":""images/items-circles/img6.png"",""x"":793.75,""y"":0},{""src"":""images/items-circles/img12.png"",""x"":-243.75,""y"":550},{""src"":""images/items-circles/img5.png"",""x"":793.75,""y"":183.33333333333334},{""src"":""images/items-circles/img2.png"",""x"":-243.75,""y"":366.6666666666667},{""src"":""images/items-circles/img13.png"",""x"":793.75,""y"":366.6666666666667},{""src"":""images/items-circles/img11.png"",""x"":-243.75,""y"":183.33333333333334},{""src"":""images/items-circles/img10.png"",""x"":793.75,""y"":550}]","[{""src"":""images/items-circles/img9.png"",""x"":154,""y"":96},{""src"":""images/items-circles/img11.png"",""x"":224,""y"":97},{""src"":""images/items-circles/img2.png"",""x"":167,""y"":267},{""src"":""images/items-circles/img8.png"",""x"":158,""y"":346},{""src"":""images/items-circles/img3.png"",""x"":400,""y"":150},{""src"":""images/items-circles/img4.png"",""x"":472,""y"":161},{""src"":""images/items-circles/img12.png"",""x"":221,""y"":488},{""src"":""images/items-circles/img15.png"",""x"":347,""y"":472},{""src"":""images/items-circles/img10.png"",""x"":217,""y"":354},{""src"":""images/items-circles/img2.png"",""x"":398,""y"":302},{""src"":""images/items-circles/img7.png"",""x"":79,""y"":211},{""src"":""images/items-circles/img2.png"",""x"":418,""y"":280},{""src"":""images/items-circles/img1.png"",""x"":275,""y"":215},{""src"":""images/items-circles/img5.png"",""x"":477,""y"":403},{""src"":""images/items-circles/img14.png"",""x"":343,""y"":54},{""src"":""images/items-circles/img6.png"",""x"":34,""y"":333},{""src"":""images/items-circles/img13.png"",""x"":339,""y"":363}]","[{""src"":""images/items-circles/img7.png"",""x"":79,""y"":211},{""src"":""images/items-circles/img8.png"",""x"":158,""y"":346},{""src"":""images/items-circles/img1.png"",""x"":275,""y"":215},{""src"":""images/items-circles/img15.png"",""x"":347,""y"":472},{""src"":""images/items-circles/img14.png"",""x"":343,""y"":54},{""src"":""images/items-circles/img3.png"",""x"":400,""y"":150},{""src"":""images/items-circles/img4.png"",""x"":472,""y"":161},{""src"":""images/items-circles/img9.png"",""x"":154,""y"":96},{""src"":""images/items-circles/img6.png"",""x"":34,""y"":333},{""src"":""images/items-circles/img12.png"",""x"":221,""y"":488},{""src"":""images/items-circles/img5.png"",""x"":477,""y"":403},{""src"":""images/items-circles/img2.png"",""x"":418,""y"":280},{""src"":""images/items-circles/img13.png"",""x"":339,""y"":363},{""src"":""images/items-circles/img11.png"",""x"":224,""y"":97},{""src"":""images/items-circles/img10.png"",""x"":217,""y"":354}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"instructions",6,"2.0.0",105009,NA,12118,NA,NA,"[{""page_index"":0,""viewing_time"":12118}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"survey-slider",7,"null",197544,NA,92532,NA,"{""Q0"":""65"",""Q1"":""70"",""Q2"":""26"",""Q3"":""67"",""Q4"":""82"",""Q5"":""64"",""Q6"":""27"",""Q7"":""3"",""Q8"":""10"",""Q9"":""68"",""Q10"":""12"",""Q11"":""14"",""Q12"":""77"",""Q13"":""17"",""Q14"":""20""}",NA,NA,NA,NA,"{""itemA"":""get sick"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""become hungry"",""categoryA"":""physical"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""become hungry"",""categoryA"":""cognitive"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""become hungry"",""categoryA"":""physiological"",""categoryB"":""physiological"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]",NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"survey-slider",8,"null",303024,NA,105477.400000002,NA,"{""Q0"":""70"",""Q1"":""27"",""Q2"":""37"",""Q3"":""73"",""Q4"":""41"",""Q5"":""74"",""Q6"":""67"",""Q7"":""62"",""Q8"":""35"",""Q9"":""28"",""Q10"":""24"",""Q11"":""33"",""Q12"":""36"",""Q13"":""26"",""Q14"":""26""}",NA,NA,NA,NA,"{""itemA"":""hear something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""choose what to do"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""think about something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""think about something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""think about something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]",NA,NA,NA,NA,NA,NA
"subj_01",NA,NA,NA,NA,NA,"survey-slider",9,"null",358061,NA,55034.3000000007,NA,"{""Q0"":""38"",""Q1"":""32"",""Q2"":""28"",""Q3"":""37"",""Q4"":""23"",""Q5"":""27"",""Q6"":""24"",""Q7"":""24"",""Q8"":""24"",""Q9"":""59"",""Q10"":""66"",""Q11"":""30"",""Q12"":""31"",""Q13"":""36"",""Q14"":""33""}",NA,NA,NA,NA,"{""itemA"":""choose what to do"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""reach for something"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""feel scared"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""hear something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get tired"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""experience pain"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""think about something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""see something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""kick something"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""remember something"",""itemB"":""see something"",""categoryA"":""cognitive"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""sit down"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""jump up and down"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""become hungry"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""get sick"",""itemB"":""see something"",""categoryA"":""physiological"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","{""itemA"":""take a walk"",""itemB"":""see something"",""categoryA"":""physical"",""categoryB"":""cognitive"",""attention_check"":false,""correct_response"":null}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]",NA,NA,NA,NA,NA,NA
