"itemA","itemB","MindBodyAction_itemA","MindBodyAction_itemB","PerCogOdActSpActBstimBnstim_itemA","PerCogOdActSpActBstimBnstim_itemB","PhysicalEthereal_itemA","PhysicalEthereal_itemB","theor1_Mind-Body-Action","theor2_PerCog-OdActSpAct-BodyStimBodynoStim","theor3_Physical-Ethereal"
"hear something","see something","mind","mind","per","per","ethereal","ethereal",0,0,0
"choose what to do","see something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"remember something","see something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"think about something","see something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"reach for something","see something","act","mind","odAct","per","phys","ethereal",1,1,1
"sit down","see something","act","mind","SpAct","per","phys","ethereal",1,1,1
"jump up and down","see something","act","mind","SpAct","per","phys","ethereal",1,1,1
"kick something","see something","act","mind","odAct","per","phys","ethereal",1,1,1
"take a walk","see something","act","mind","SpAct","per","phys","ethereal",1,1,1
"get tired","see something","bio","mind","BnS","per","phys","ethereal",1,1,1
"become hungry","see something","bio","mind","BnS","per","phys","ethereal",1,1,1
"feel scared","see something","bio","mind","BS","per","phys","ethereal",1,1,1
"experience pain","see something","bio","mind","BS","per","phys","ethereal",1,1,1
"get sick","see something","bio","mind","BnS","per","phys","ethereal",1,1,1
"see something","hear something","mind","mind","per","per","ethereal","ethereal",0,0,0
"choose what to do","hear something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"remember something","hear something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"think about something","hear something","mind","mind","cog","per","ethereal","ethereal",0,1,0
"reach for something","hear something","act","mind","odAct","per","phys","ethereal",1,1,1
"sit down","hear something","act","mind","SpAct","per","phys","ethereal",1,1,1
"jump up and down","hear something","act","mind","SpAct","per","phys","ethereal",1,1,1
"kick something","hear something","act","mind","odAct","per","phys","ethereal",1,1,1
"take a walk","hear something","act","mind","SpAct","per","phys","ethereal",1,1,1
"get tired","hear something","bio","mind","BnS","per","phys","ethereal",1,1,1
"become hungry","hear something","bio","mind","BnS","per","phys","ethereal",1,1,1
"feel scared","hear something","bio","mind","BS","per","phys","ethereal",1,1,1
"experience pain","hear something","bio","mind","BS","per","phys","ethereal",1,1,1
"get sick","hear something","bio","mind","BnS","per","phys","ethereal",1,1,1
"see something","choose what to do","mind","mind","per","cog","ethereal","ethereal",0,1,0
"hear something","choose what to do","mind","mind","per","cog","ethereal","ethereal",0,1,0
"remember something","choose what to do","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"think about something","choose what to do","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"reach for something","choose what to do","act","mind","odAct","cog","phys","ethereal",1,1,1
"sit down","choose what to do","act","mind","SpAct","cog","phys","ethereal",1,1,1
"jump up and down","choose what to do","act","mind","SpAct","cog","phys","ethereal",1,1,1
"kick something","choose what to do","act","mind","odAct","cog","phys","ethereal",1,1,1
"take a walk","choose what to do","act","mind","SpAct","cog","phys","ethereal",1,1,1
"get tired","choose what to do","bio","mind","BnS","cog","phys","ethereal",1,1,1
"become hungry","choose what to do","bio","mind","BnS","cog","phys","ethereal",1,1,1
"feel scared","choose what to do","bio","mind","BS","cog","phys","ethereal",1,1,1
"experience pain","choose what to do","bio","mind","BS","cog","phys","ethereal",1,1,1
"get sick","choose what to do","bio","mind","BnS","cog","phys","ethereal",1,1,1
"see something","remember something","mind","mind","per","cog","ethereal","ethereal",0,1,0
"hear something","remember something","mind","mind","per","cog","ethereal","ethereal",0,1,0
"choose what to do","remember something","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"think about something","remember something","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"reach for something","remember something","act","mind","odAct","cog","phys","ethereal",1,1,1
"sit down","remember something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"jump up and down","remember something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"kick something","remember something","act","mind","odAct","cog","phys","ethereal",1,1,1
"take a walk","remember something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"get tired","remember something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"become hungry","remember something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"feel scared","remember something","bio","mind","BS","cog","phys","ethereal",1,1,1
"experience pain","remember something","bio","mind","BS","cog","phys","ethereal",1,1,1
"get sick","remember something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"see something","think about something","mind","mind","per","cog","ethereal","ethereal",0,1,0
"hear something","think about something","mind","mind","per","cog","ethereal","ethereal",0,1,0
"choose what to do","think about something","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"remember something","think about something","mind","mind","cog","cog","ethereal","ethereal",0,0,0
"reach for something","think about something","act","mind","odAct","cog","phys","ethereal",1,1,1
"sit down","think about something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"jump up and down","think about something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"kick something","think about something","act","mind","odAct","cog","phys","ethereal",1,1,1
"take a walk","think about something","act","mind","SpAct","cog","phys","ethereal",1,1,1
"get tired","think about something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"become hungry","think about something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"feel scared","think about something","bio","mind","BS","cog","phys","ethereal",1,1,1
"experience pain","think about something","bio","mind","BS","cog","phys","ethereal",1,1,1
"get sick","think about something","bio","mind","BnS","cog","phys","ethereal",1,1,1
"see something","reach for something","mind","act","per","odAct","ethereal","phys",1,1,1
"hear something","reach for something","mind","act","per","odAct","ethereal","phys",1,1,1
"choose what to do","reach for something","mind","act","cog","odAct","ethereal","phys",1,1,1
"remember something","reach for something","mind","act","cog","odAct","ethereal","phys",1,1,1
"think about something","reach for something","mind","act","cog","odAct","ethereal","phys",1,1,1
"sit down","reach for something","act","act","SpAct","odAct","phys","phys",0,1,0
"jump up and down","reach for something","act","act","SpAct","odAct","phys","phys",0,1,0
"kick something","reach for something","act","act","odAct","odAct","phys","phys",0,0,0
"take a walk","reach for something","act","act","SpAct","odAct","phys","phys",0,1,0
"get tired","reach for something","bio","act","BnS","odAct","phys","phys",1,1,0
"become hungry","reach for something","bio","act","BnS","odAct","phys","phys",1,1,0
"feel scared","reach for something","bio","act","BS","odAct","phys","phys",1,1,0
"experience pain","reach for something","bio","act","BS","odAct","phys","phys",1,1,0
"get sick","reach for something","bio","act","BnS","odAct","phys","phys",1,1,0
"see something","sit down","mind","act","per","SpAct","ethereal","phys",1,1,1
"hear something","sit down","mind","act","per","SpAct","ethereal","phys",1,1,1
"choose what to do","sit down","mind","act","cog","SpAct","ethereal","phys",1,1,1
"remember something","sit down","mind","act","cog","SpAct","ethereal","phys",1,1,1
"think about something","sit down","mind","act","cog","SpAct","ethereal","phys",1,1,1
"reach for something","sit down","act","act","odAct","SpAct","phys","phys",0,1,0
"jump up and down","sit down","act","act","SpAct","SpAct","phys","phys",0,0,0
"kick something","sit down","act","act","odAct","SpAct","phys","phys",0,1,0
"take a walk","sit down","act","act","SpAct","SpAct","phys","phys",0,0,0
"get tired","sit down","bio","act","BnS","SpAct","phys","phys",1,1,0
"become hungry","sit down","bio","act","BnS","SpAct","phys","phys",1,1,0
"feel scared","sit down","bio","act","BS","SpAct","phys","phys",1,1,0
