"itemA","itemB","theor1_Mind-Body-Action","theor2_PerCog-OdActSpAct-BodyStimBodynoStim","theor3_Physical-Ethereal","theor4_cosine_similarity"
"hear something","see something",0,0,0,0.184711194142376
"choose what to do","see something",0,1,0,0.412093771472324
"remember something","see something",0,1,0,0.240954399972408
"think about something","see something",0,1,0,0.200172591269111
"reach for something","see something",1,1,1,0.309566217427171
"sit down","see something",1,1,1,0.373048478079255
"jump up and down","see something",1,1,1,0.42228703682827
"kick something","see something",1,1,1,0.320235094062695
"take a walk","see something",1,1,1,0.319983618009491
"get tired","see something",1,1,1,0.410755670177122
"become hungry","see something",1,1,1,0.419897413785843
"feel scared","see something",1,1,1,0.452851982959558
"experience pain","see something",1,1,1,0.446760116897904
"get sick","see something",1,1,1,0.409189196967582
"see something","hear something",0,0,0,0.184711194142376
"choose what to do","hear something",0,1,0,0.394141929996633
"remember something","hear something",0,1,0,0.280473963688843
"think about something","hear something",0,1,0,0.279552322216534
"reach for something","hear something",1,1,1,0.299282154589012
"sit down","hear something",1,1,1,0.36438698245213
"jump up and down","hear something",1,1,1,0.39769716643479
"kick something","hear something",1,1,1,0.28069480852107
"take a walk","hear something",1,1,1,0.35789052755029
"get tired","hear something",1,1,1,0.379343078065958
"become hungry","hear something",1,1,1,0.428605591146647
"feel scared","hear something",1,1,1,0.455727063387354
"experience pain","hear something",1,1,1,0.468404520460012
"get sick","hear something",1,1,1,0.409870825575357
"see something","choose what to do",0,1,0,0.412093771472324
"hear something","choose what to do",0,1,0,0.394141929996633
"remember something","choose what to do",0,0,0,0.459452862836054
"think about something","choose what to do",0,0,0,0.389701504534866
"reach for something","choose what to do",1,1,1,0.367669105280209
"sit down","choose what to do",1,1,1,0.330734988971358
"jump up and down","choose what to do",1,1,1,0.37627789325606
"kick something","choose what to do",1,1,1,0.376724519104407
"take a walk","choose what to do",1,1,1,0.355536417647048
"get tired","choose what to do",1,1,1,0.385086804371433
"become hungry","choose what to do",1,1,1,0.358277679701376
"feel scared","choose what to do",1,1,1,0.447281896573276
"experience pain","choose what to do",1,1,1,0.439142639937397
"get sick","choose what to do",1,1,1,0.357113344394277
"see something","remember something",0,1,0,0.240954399972408
"hear something","remember something",0,1,0,0.280473963688843
"choose what to do","remember something",0,0,0,0.459452862836054
"think about something","remember something",0,0,0,0.197696420109515
"reach for something","remember something",1,1,1,0.323991759508487
"sit down","remember something",1,1,1,0.430821578090838
"jump up and down","remember something",1,1,1,0.409900264492103
"kick something","remember something",1,1,1,0.334017785182932
"take a walk","remember something",1,1,1,0.359633311850161
"get tired","remember something",1,1,1,0.421734658227402
"become hungry","remember something",1,1,1,0.442603671270314
"feel scared","remember something",1,1,1,0.405250159278127
"experience pain","remember something",1,1,1,0.466446938656362
"get sick","remember something",1,1,1,0.431813424911782
"see something","think about something",0,1,0,0.200172591269111
"hear something","think about something",0,1,0,0.279552322216534
"choose what to do","think about something",0,0,0,0.389701504534866
"remember something","think about something",0,0,0,0.197696420109515
"reach for something","think about something",1,1,1,0.312340776891706
"sit down","think about something",1,1,1,0.385053115315973
"jump up and down","think about something",1,1,1,0.390262274215205
"kick something","think about something",1,1,1,0.337749423112761
"take a walk","think about something",1,1,1,0.318413566119475
"get tired","think about something",1,1,1,0.385856450712041
"become hungry","think about something",1,1,1,0.373699008396747
"feel scared","think about something",1,1,1,0.408816786329912
"experience pain","think about something",1,1,1,0.482180822369259
"get sick","think about something",1,1,1,0.427618970780197
"see something","reach for something",1,1,1,0.309566217427171
"hear something","reach for something",1,1,1,0.299282154589012
"choose what to do","reach for something",1,1,1,0.367669105280209
"remember something","reach for something",1,1,1,0.323991759508487
"think about something","reach for something",1,1,1,0.312340776891706
"sit down","reach for something",0,1,0,0.313477821038777
"jump up and down","reach for something",0,1,0,0.316173280460851
"kick something","reach for something",0,0,0,0.240273794453486
"take a walk","reach for something",0,1,0,0.313640934104094
"get tired","reach for something",1,1,0,0.380405331022521
"become hungry","reach for something",1,1,0,0.330659522867037
"feel scared","reach for something",1,1,0,0.429335504819286
"experience pain","reach for something",1,1,0,0.495644112442861
"get sick","reach for something",1,1,0,0.368560418335355
"see something","sit down",1,1,1,0.373048478079255
"hear something","sit down",1,1,1,0.36438698245213
"choose what to do","sit down",1,1,1,0.330734988971358
"remember something","sit down",1,1,1,0.430821578090838
"think about something","sit down",1,1,1,0.385053115315973
"reach for something","sit down",0,1,0,0.313477821038777
"jump up and down","sit down",0,0,0,0.225405474469413
"kick something","sit down",0,1,0,0.285600508302808
"take a walk","sit down",0,0,0,0.20594116298353
"get tired","sit down",1,1,0,0.246345545501302
"become hungry","sit down",1,1,0,0.286095806881472
"feel scared","sit down",1,1,0,0.336513360171491
"experience pain","sit down",1,1,0,0.397284095201174
"get sick","sit down",1,1,0,0.262813014087912
"see something","jump up and down",1,1,1,0.42228703682827
"hear something","jump up and down",1,1,1,0.39769716643479
"choose what to do","jump up and down",1,1,1,0.37627789325606
"remember something","jump up and down",1,1,1,0.409900264492103
"think about something","jump up and down",1,1,1,0.390262274215205
"reach for something","jump up and down",0,1,0,0.316173280460851
"sit down","jump up and down",0,0,0,0.225405474469413
"kick something","jump up and down",0,1,0,0.311932806084421
"take a walk","jump up and down",0,0,0,0.274407174461565
"get tired","jump up and down",1,1,0,0.324425471706901
"become hungry","jump up and down",1,1,0,0.328159520998496
"feel scared","jump up and down",1,1,0,0.395716356299651
"experience pain","jump up and down",1,1,0,0.441725813899396
"get sick","jump up and down",1,1,0,0.3125738178529
"see something","kick something",1,1,1,0.320235094062695
"hear something","kick something",1,1,1,0.28069480852107
"choose what to do","kick something",1,1,1,0.376724519104407
"remember something","kick something",1,1,1,0.334017785182932
"think about something","kick something",1,1,1,0.337749423112761
"reach for something","kick something",0,0,0,0.240273794453486
"sit down","kick something",0,1,0,0.285600508302808
"jump up and down","kick something",0,1,0,0.311932806084421
"take a walk","kick something",0,1,0,0.294047456019776
"get tired","kick something",1,1,0,0.311753425981134
"become hungry","kick something",1,1,0,0.342511833354046
"feel scared","kick something",1,1,0,0.371161821023757
"experience pain","kick something",1,1,0,0.447760486363409
"get sick","kick something",1,1,0,0.35044084367355
"see something","take a walk",1,1,1,0.319983618009491
"hear something","take a walk",1,1,1,0.35789052755029
"choose what to do","take a walk",1,1,1,0.355536417647048
"remember something","take a walk",1,1,1,0.359633311850161
"think about something","take a walk",1,1,1,0.318413566119475
"reach for something","take a walk",0,1,0,0.313640934104094
"sit down","take a walk",0,0,0,0.20594116298353
"jump up and down","take a walk",0,0,0,0.274407174461565
"kick something","take a walk",0,1,0,0.294047456019776
"get tired","take a walk",1,1,0,0.256448467146101
"become hungry","take a walk",1,1,0,0.310698974005549
"feel scared","take a walk",1,1,0,0.383927825042982
"experience pain","take a walk",1,1,0,0.429694323544127
"get sick","take a walk",1,1,0,0.267321189310773
"see something","get tired",1,1,1,0.410755670177122
"hear something","get tired",1,1,1,0.379343078065958
"choose what to do","get tired",1,1,1,0.385086804371433
"remember something","get tired",1,1,1,0.421734658227402
"think about something","get tired",1,1,1,0.385856450712041
"reach for something","get tired",1,1,0,0.380405331022521
"sit down","get tired",1,1,0,0.246345545501302
"jump up and down","get tired",1,1,0,0.324425471706901
"kick something","get tired",1,1,0,0.311753425981134
"take a walk","get tired",1,1,0,0.256448467146101
"become hungry","get tired",0,0,0,0.30320749534347
"feel scared","get tired",0,1,0,0.317504569440663
"experience pain","get tired",0,1,0,0.407201241954402
"get sick","get tired",0,0,0,0.23194592096925
"see something","become hungry",1,1,1,0.419897413785843
"hear something","become hungry",1,1,1,0.428605591146647
"choose what to do","become hungry",1,1,1,0.358277679701376
"remember something","become hungry",1,1,1,0.442603671270314
"think about something","become hungry",1,1,1,0.373699008396747
"reach for something","become hungry",1,1,0,0.330659522867037
"sit down","become hungry",1,1,0,0.286095806881472
"jump up and down","become hungry",1,1,0,0.328159520998496
"kick something","become hungry",1,1,0,0.342511833354046
"take a walk","become hungry",1,1,0,0.310698974005549
"get tired","become hungry",0,0,0,0.30320749534347
"feel scared","become hungry",0,1,0,0.305715654334461
"experience pain","become hungry",0,1,0,0.39732146788056
"get sick","become hungry",0,0,0,0.315512329332576
"see something","feel scared",1,1,1,0.452851982959558
