"subject_id","trial_type","trial_type_order","trial_index","question_index","response","itemA","itemB","categoryA","categoryB","attention_check","correct_response","original_trial_index","original_question_index","attention_check_id","correct","x","y","item"
"subj_01","causation","second",1,1,65,"get sick","become hungry","physiological","physiological",FALSE,NA,7,"0",NA,NA,NA,NA,NA
"subj_01","causation","second",1,2,70,"remember something","become hungry","cognitive","physiological",FALSE,NA,7,"1",NA,NA,NA,NA,NA
"subj_01","causation","second",1,3,26,"reach for something","become hungry","physical","physiological",FALSE,NA,7,"2",NA,NA,NA,NA,NA
"subj_01","causation","second",1,4,67,"get tired","become hungry","physiological","physiological",FALSE,NA,7,"3",NA,NA,NA,NA,NA
"subj_01","causation","second",1,5,82,"jump up and down","become hungry","physical","physiological",FALSE,NA,7,"4",NA,NA,NA,NA,NA
"subj_01","causation","second",1,6,64,"think about something","become hungry","cognitive","physiological",FALSE,NA,7,"5",NA,NA,NA,NA,NA
"subj_01","causation","second",1,7,27,"see something","become hungry","cognitive","physiological",FALSE,NA,7,"6",NA,NA,NA,NA,NA
"subj_01","causation","second",1,8,3,"kick something","become hungry","physical","physiological",FALSE,NA,7,"7",NA,NA,NA,NA,NA
"subj_01","causation","second",1,9,10,"sit down","become hungry","physical","physiological",FALSE,NA,7,"8",NA,NA,NA,NA,NA
"subj_01","causation","second",1,10,68,"choose what to do","become hungry","cognitive","physiological",FALSE,NA,7,"9",NA,NA,NA,NA,NA
"subj_01","causation","second",1,11,12,"feel scared","become hungry","physiological","physiological",FALSE,NA,7,"10",NA,NA,NA,NA,NA
"subj_01","causation","second",1,12,14,"experience pain","become hungry","physiological","physiological",FALSE,NA,7,"11",NA,NA,NA,NA,NA
"subj_01","causation","second",1,13,77,"take a walk","become hungry","physical","physiological",FALSE,NA,7,"12",NA,NA,NA,NA,NA
"subj_01","causation","second",1,14,17,"hear something","become hungry","cognitive","physiological",FALSE,NA,7,"13",NA,NA,NA,NA,NA
"subj_01","causation","second",1,15,20,"become hungry","become hungry","physiological","physiological",FALSE,NA,7,"14",NA,NA,NA,NA,NA
"subj_01","causation","second",2,16,70,"hear something","think about something","cognitive","cognitive",FALSE,NA,8,"0",NA,NA,NA,NA,NA
"subj_01","causation","second",2,17,27,"jump up and down","think about something","physical","cognitive",FALSE,NA,8,"1",NA,NA,NA,NA,NA
"subj_01","causation","second",2,18,37,"feel scared","think about something","physiological","cognitive",FALSE,NA,8,"2",NA,NA,NA,NA,NA
"subj_01","causation","second",2,19,73,"remember something","think about something","cognitive","cognitive",FALSE,NA,8,"3",NA,NA,NA,NA,NA
"subj_01","causation","second",2,20,41,"choose what to do","think about something","cognitive","cognitive",FALSE,NA,8,"4",NA,NA,NA,NA,NA
"subj_01","causation","second",2,21,74,"sit down","think about something","physical","cognitive",FALSE,NA,8,"5",NA,NA,NA,NA,NA
"subj_01","causation","second",2,22,67,"get tired","think about something","physiological","cognitive",FALSE,NA,8,"6",NA,NA,NA,NA,NA
"subj_01","causation","second",2,23,62,"think about something","think about something","cognitive","cognitive",FALSE,NA,8,"7",NA,NA,NA,NA,NA
"subj_01","causation","second",2,24,35,"experience pain","think about something","physiological","cognitive",FALSE,NA,8,"8",NA,NA,NA,NA,NA
"subj_01","causation","second",2,25,28,"become hungry","think about something","physiological","cognitive",FALSE,NA,8,"9",NA,NA,NA,NA,NA
"subj_01","causation","second",2,26,24,"kick something","think about something","physical","cognitive",FALSE,NA,8,"10",NA,NA,NA,NA,NA
"subj_01","causation","second",2,27,33,"reach for something","think about something","physical","cognitive",FALSE,NA,8,"11",NA,NA,NA,NA,NA
"subj_01","causation","second",2,28,36,"take a walk","think about something","physical","cognitive",FALSE,NA,8,"12",NA,NA,NA,NA,NA
"subj_01","causation","second",2,29,26,"get sick","think about something","physiological","cognitive",FALSE,NA,8,"13",NA,NA,NA,NA,NA
"subj_01","causation","second",2,30,26,"see something","think about something","cognitive","cognitive",FALSE,NA,8,"14",NA,NA,NA,NA,NA
"subj_01","causation","second",3,31,38,"choose what to do","see something","cognitive","cognitive",FALSE,NA,9,"0",NA,NA,NA,NA,NA
"subj_01","causation","second",3,32,32,"reach for something","see something","physical","cognitive",FALSE,NA,9,"1",NA,NA,NA,NA,NA
"subj_01","causation","second",3,33,28,"feel scared","see something","physiological","cognitive",FALSE,NA,9,"2",NA,NA,NA,NA,NA
"subj_01","causation","second",3,34,37,"hear something","see something","cognitive","cognitive",FALSE,NA,9,"3",NA,NA,NA,NA,NA
"subj_01","causation","second",3,35,23,"get tired","see something","physiological","cognitive",FALSE,NA,9,"4",NA,NA,NA,NA,NA
"subj_01","causation","second",3,36,27,"experience pain","see something","physiological","cognitive",FALSE,NA,9,"5",NA,NA,NA,NA,NA
"subj_01","causation","second",3,37,24,"think about something","see something","cognitive","cognitive",FALSE,NA,9,"6",NA,NA,NA,NA,NA
"subj_01","causation","second",3,38,24,"see something","see something","cognitive","cognitive",FALSE,NA,9,"7",NA,NA,NA,NA,NA
"subj_01","causation","second",3,39,24,"kick something","see something","physical","cognitive",FALSE,NA,9,"8",NA,NA,NA,NA,NA
"subj_01","causation","second",3,40,59,"remember something","see something","cognitive","cognitive",FALSE,NA,9,"9",NA,NA,NA,NA,NA
